Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T15:20:05,2021-05-31T15:33:24,264,Eränkävijäntori,240,Viikin normaalikoulu,3450,794
2021-05-31T15:19:58,2021-05-31T15:42:02,009,Erottajan aukio,069,Kalevankatu,1268,1319
2021-05-31T15:19:57,2021-05-31T15:28:09,039,Ooppera,021,Töölönlahdenkatu,1688,487
2021-05-31T15:19:49,2021-05-31T15:27:46,216,Jännetie,210,Pajamäki,1116,470
2021-05-31T15:19:46,2021-05-31T15:29:29,081,Stenbäckinkatu,115,Venttiilikuja,1840,581
2021-05-31T15:19:43,2021-05-31T15:38:51,219,Näyttelijäntie,099,Muusantori,3971,1146
2021-05-31T15:19:42,2021-05-31T15:22:58,161,Eteläesplanadi,019,Rautatientori / itä,618,191
2021-05-31T15:19:41,2021-05-31T15:40:59,090,Paciuksenkaari,021,Töölönlahdenkatu,4352,1276
2021-05-31T15:19:41,2021-05-31T15:32:00,041,Ympyrätalo,008,Vanha kirkkopuisto,2513,734
2021-05-31T15:19:40,2021-05-31T15:20:39,064,Tyynenmerenkatu,064,Tyynenmerenkatu,10,55
2021-05-31T15:19:39,2021-05-31T15:36:55,026,Kamppi (M),113,Pasilan asema,3824,1031
2021-05-31T15:19:33,2021-05-31T15:34:26,019,Rautatientori / itä,126,Kalasatama (M),3144,890
2021-05-31T15:19:30,2021-05-31T15:38:54,028,Lastenlehto,111,Esterinportti,4206,1163
2021-05-31T15:19:30,2021-05-31T15:31:37,010,Kasarmitori,039,Ooppera,2450,723
2021-05-31T15:19:29,2021-05-31T15:22:44,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,843,195
2021-05-31T15:19:17,2021-05-31T15:24:20,521,Kulttuuriaukio,557,Louhentori,1204,299
2021-05-31T15:19:04,2021-05-31T15:33:22,727,Ratsutori,551,Tietäjä,3834,855
2021-05-31T15:18:57,2021-05-31T15:29:46,041,Ympyrätalo,114,Ratapihantie,2338,645
2021-05-31T15:18:52,2021-05-31T15:27:01,318,Vuosaaren puistopolku,308,Mosaiikkitori,1519,485
2021-05-31T15:18:50,2021-05-31T15:25:10,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,894,376
2021-05-31T15:18:48,2021-05-31T15:24:45,031,Marian sairaala,022,Rautatientori / länsi,1376,353
2021-05-31T15:18:47,2021-05-31T15:24:10,025,Narinkka,009,Erottajan aukio,752,322
2021-05-31T15:18:43,2021-05-31T15:30:54,216,Jännetie,208,Valimotie,2037,727
2021-05-31T15:18:43,2021-05-31T15:26:53,035,Cygnaeuksenkatu,149,Toinen linja,1841,485
2021-05-31T15:18:40,2021-05-31T15:23:04,311,Ramsinniementie,313,Rastila (M),857,260
2021-05-31T15:18:35,2021-05-31T15:45:39,112,Rautatieläisenkatu,020,Kaisaniemenpuisto,3171,1621
2021-05-31T15:18:34,2021-05-31T15:42:19,045,Brahen kenttä,067,Perämiehenkatu,4751,1421
2021-05-31T15:18:26,2021-05-31T15:39:45,075,Korjaamo,053,Heikkiläntie,4825,1278
2021-05-31T15:18:22,2021-05-31T15:24:08,573,Urheilupuisto (M),561,Koivu-Mankkaa,1125,341
2021-05-31T15:18:22,2021-05-31T15:23:43,751,Vallipolku,731,Leppävaarankäytävä,1094,317
2021-05-31T15:18:19,2021-05-31T15:26:13,101,Munkkivuoren ostoskeskus,099,Muusantori,1678,474
2021-05-31T15:18:10,2021-05-31T15:42:56,012,Kanavaranta,019,Rautatientori / itä,3011,1483
2021-05-31T15:18:07,2021-05-31T15:26:29,066,Ehrenströmintie,047,Vanha Kauppahalli,1506,497
2021-05-31T15:18:06,2021-05-31T15:39:50,129,Pernajantie,086,Kuusitie,3589,1300
2021-05-31T15:18:01,2021-05-31T15:43:53,020,Kaisaniemenpuisto,012,Kanavaranta,2583,1548
2021-05-31T15:17:48,2021-05-31T15:29:37,523,Ahertajantie,581,Niittykumpu (M),2517,704
2021-05-31T15:17:40,2021-05-31T15:24:22,067,Perämiehenkatu,062,Välimerenkatu,1366,397
2021-05-31T15:17:36,2021-05-31T15:22:53,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,908,312
2021-05-31T15:17:28,2021-05-31T15:32:40,081,Stenbäckinkatu,031,Marian sairaala,2817,910
2021-05-31T15:17:27,2021-05-31T15:35:59,083,Meilahden sairaala,162,Leppäsuonaukio,2548,1108
2021-05-31T15:17:13,2021-05-31T15:36:00,249,Isosaarentie,261,Asentajanpuisto,3250,1121
2021-05-31T15:17:07,2021-05-31T15:23:43,104,Kriikunakuja,089,Tilkanvierto,1018,392
2021-05-31T15:17:04,2021-05-31T15:24:33,126,Kalasatama (M),290,Vallilan varikko,1427,443
2021-05-31T15:17:04,2021-05-31T15:29:28,122,Lintulahdenkatu,113,Pasilan asema,2764,740
2021-05-31T15:16:57,2021-05-31T15:20:41,094,Laajalahden aukio,098,Ulvilantie,798,219
2021-05-31T15:16:52,2021-05-31T15:23:54,555,Kalevalantie,541,"Aalto-yliopisto (M), Korkeakouluaukio",1529,416
2021-05-31T15:16:51,2021-05-31T15:40:50,549,Maarinranta,095,Munkkiniemen aukio,5397,1436
2021-05-31T15:16:35,2021-05-31T15:22:26,113,Pasilan asema,117,Brahen puistikko,1497,351
2021-05-31T15:16:32,2021-05-31T15:20:10,161,Eteläesplanadi,012,Kanavaranta,702,212
2021-05-31T15:16:27,2021-05-31T15:40:50,089,Tilkanvierto,023,Kiasma,3912,1461
2021-05-31T15:16:27,2021-05-31T15:32:48,306,Kauppakeskus Columbus,276,Puotinharju,4363,976
2021-05-31T15:16:13,2021-05-31T15:27:46,081,Stenbäckinkatu,113,Pasilan asema,1958,688
2021-05-31T15:16:11,2021-05-31T15:20:30,541,"Aalto-yliopisto (M), Korkeakouluaukio",543,Otaranta,823,257
2021-05-31T15:16:09,2021-05-31T15:20:47,075,Korjaamo,083,Meilahden sairaala,998,273
2021-05-31T15:16:08,2021-05-31T15:20:05,026,Kamppi (M),034,Kansallismuseo,784,232
2021-05-31T15:15:59,2021-05-31T15:37:11,276,Puotinharju,246,Tupasaarentie,5256,1268
2021-05-31T15:15:58,2021-05-31T15:24:08,045,Brahen kenttä,113,Pasilan asema,1850,486
2021-05-31T15:15:51,2021-05-31T15:22:20,581,Niittykumpu (M),587,Hauenkallio,1455,388
2021-05-31T15:15:49,2021-05-31T15:23:47,084,Paciuksenkatu,075,Korjaamo,1633,475
2021-05-31T15:15:42,2021-05-31T15:29:51,054,Gyldenintie,067,Perämiehenkatu,3665,844
2021-05-31T15:15:41,2021-05-31T15:18:37,259,Petter Wetterin tie,255,Laivalahden puistotie,652,176
2021-05-31T15:15:41,2021-05-31T15:55:18,226,Lepolantie,044,Sörnäinen (M),9047,2378
2021-05-31T15:15:39,2021-05-31T15:25:55,067,Perämiehenkatu,023,Kiasma,1674,612
2021-05-31T15:15:39,2021-05-31T15:18:37,106,Korppaanmäentie,107,Tenholantie,526,173
2021-05-31T15:15:39,2021-05-31T15:34:51,019,Rautatientori / itä,204,A.I. Virtasen aukio,5532,1151
2021-05-31T15:15:39,2021-05-31T15:55:51,226,Lepolantie,044,Sörnäinen (M),8756,2409
2021-05-31T15:15:37,2021-05-31T15:30:29,116,Linnanmäki,126,Kalasatama (M),3240,887
2021-05-31T15:15:30,2021-05-31T15:21:53,006,Hietalahdentori,030,Itämerentori,1018,366
2021-05-31T15:15:27,2021-05-31T15:27:30,053,Heikkiläntie,071,Hietaniemenkatu,3572,720
2021-05-31T15:15:17,2021-05-31T15:17:33,523,Ahertajantie,517,Länsituuli,516,134
2021-05-31T15:15:15,2021-05-31T15:21:17,260,Herttoniemi (M),264,Eränkävijäntori,1308,358
2021-05-31T15:15:13,2021-05-31T15:38:08,022,Rautatientori / länsi,150,Töölönlahden puisto,1202,1371
2021-05-31T15:15:11,2021-05-31T15:29:26,112,Rautatieläisenkatu,041,Ympyrätalo,2894,857
2021-05-31T15:15:04,2021-05-31T15:23:52,126,Kalasatama (M),118,Fleminginkatu,1502,524
2021-05-31T15:15:03,2021-05-31T15:31:01,083,Meilahden sairaala,043,Karhupuisto,3077,953
2021-05-31T15:15:02,2021-05-31T15:39:27,021,Töölönlahdenkatu,006,Hietalahdentori,5688,1473
2021-05-31T15:15:01,2021-05-31T15:26:33,276,Puotinharju,267,Roihupelto,1856,692
2021-05-31T15:14:59,2021-05-31T15:21:49,577,Olarinluoma,581,Niittykumpu (M),1306,409
2021-05-31T15:14:45,2021-05-31T15:50:47,044,Sörnäinen (M),130,Teollisuuskatu,2497,2158
2021-05-31T15:14:41,2021-05-31T15:17:45,573,Urheilupuisto (M),571,Tapiolan urheilupuisto,655,180
2021-05-31T15:14:31,2021-05-31T15:19:05,352,Tapanilan asema,355,Halmetie,876,274
2021-05-31T15:14:25,2021-05-31T15:27:41,137,Arabian kauppakeskus,125,Arielinkatu,2450,792
2021-05-31T15:14:21,2021-05-31T15:14:42,083,Meilahden sairaala,083,Meilahden sairaala,0,17
2021-05-31T15:14:15,2021-05-31T15:31:23,208,Valimotie,074,Rajasaarentie,4550,1029
2021-05-31T15:13:54,2021-05-31T15:20:29,094,Laajalahden aukio,090,Paciuksenkaari,916,391
2021-05-31T15:13:52,2021-05-31T15:20:53,113,Pasilan asema,117,Brahen puistikko,1460,418
2021-05-31T15:13:51,2021-05-31T15:22:09,306,Kauppakeskus Columbus,312,Meri-Rastilan tori,1648,496
2021-05-31T15:13:46,2021-05-31T15:18:21,291,Itäkeskus Metrovarikko,275,Itäkeskus (M),835,270
2021-05-31T15:13:46,2021-05-31T15:20:42,078,Messeniuksenkatu,072,Eteläinen Hesperiankatu,1441,412
2021-05-31T15:13:41,2021-05-31T15:20:42,113,Pasilan asema,117,Brahen puistikko,1443,417
2021-05-31T15:13:40,2021-05-31T15:22:15,094,Laajalahden aukio,090,Paciuksenkaari,927,511
2021-05-31T15:13:40,2021-05-31T15:28:52,028,Lastenlehto,076,Olympiastadion,2577,907
2021-05-31T15:13:38,2021-05-31T15:30:26,113,Pasilan asema,070,Sammonpuistikko,3716,1004
2021-05-31T15:13:36,2021-05-31T15:21:15,131,Elimäenkatu,113,Pasilan asema,1272,453
2021-05-31T15:13:31,2021-05-31T15:16:36,559,Pohjankulma,557,Louhentori,492,181
2021-05-31T15:13:29,2021-05-31T15:23:00,066,Ehrenströmintie,047,Vanha Kauppahalli,1501,570
2021-05-31T15:13:28,2021-05-31T15:16:20,272,Marjaniementie,275,Itäkeskus (M),646,170
2021-05-31T15:13:27,2021-05-31T15:25:35,313,Rastila (M),276,Puotinharju,2593,723
2021-05-31T15:13:26,2021-05-31T15:24:28,236,Hernepellontie,240,Viikin normaalikoulu,2662,659
2021-05-31T15:13:23,2021-05-31T15:19:39,029,Baana,021,Töölönlahdenkatu,1558,374
2021-05-31T15:13:23,2021-05-31T15:40:46,094,Laajalahden aukio,739,Postipuun koulu,5530,1642
2021-05-31T15:13:22,2021-05-31T15:20:07,625,Suomenlahdentie,633,Avaruuskatu,1592,400
2021-05-31T15:13:21,2021-05-31T15:36:16,023,Kiasma,095,Munkkiniemen aukio,4579,1375
2021-05-31T15:13:06,2021-05-31T15:20:04,731,Leppävaarankäytävä,719,Säteri,938,407
2021-05-31T15:13:04,2021-05-31T15:16:16,900,Orionintie,573,Urheilupuisto (M),869,192
2021-05-31T15:13:02,2021-05-31T15:37:21,125,Arielinkatu,038,Töölöntori,3761,1246
2021-05-31T15:12:57,2021-05-31T15:17:20,261,Asentajanpuisto,260,Herttoniemi (M),1194,258
2021-05-31T15:12:47,2021-05-31T15:19:47,330,Kontula (M),332,Kontulankaari,1059,416
2021-05-31T15:12:46,2021-05-31T15:30:07,131,Elimäenkatu,245,Kulosaari (M),3726,1037
2021-05-31T15:12:43,2021-05-31T15:17:48,064,Tyynenmerenkatu,030,Itämerentori,941,301
2021-05-31T15:12:41,2021-05-31T15:33:11,753,Linnuntie,707,Majurinkulma,4173,1226
2021-05-31T15:12:37,2021-05-31T15:31:12,065,Hernesaarenranta,202,Merihaka,4904,1111
2021-05-31T15:12:30,2021-05-31T15:21:34,030,Itämerentori,022,Rautatientori / länsi,2309,539
2021-05-31T15:12:29,2021-05-31T15:26:39,067,Perämiehenkatu,057,Lauttasaaren ostoskeskus,3182,848
2021-05-31T15:12:27,2021-05-31T15:22:59,069,Kalevankatu,009,Erottajan aukio,1261,629
2021-05-31T15:12:26,2021-05-31T15:56:43,069,Kalevankatu,004,Viiskulma,2601,2654
2021-05-31T15:12:22,2021-05-31T15:23:21,150,Töölönlahden puisto,030,Itämerentori,2099,653
2021-05-31T15:12:15,2021-05-31T15:25:21,039,Ooppera,029,Baana,2411,782
2021-05-31T15:11:55,2021-05-31T15:21:38,083,Meilahden sairaala,038,Töölöntori,1572,570
2021-05-31T15:11:50,2021-05-31T15:14:27,517,Länsituuli,523,Ahertajantie,520,154
2021-05-31T15:11:46,2021-05-31T15:14:42,049,Annankatu,067,Perämiehenkatu,614,172
2021-05-31T15:11:41,2021-05-31T15:18:49,214,Valimon asema,216,Jännetie,1479,425
2021-05-31T15:11:35,2021-05-31T15:20:18,117,Brahen puistikko,113,Pasilan asema,1468,520
2021-05-31T15:11:34,2021-05-31T15:15:36,086,Kuusitie,084,Paciuksenkatu,741,237
